YKR034W	YCR040W	YJL110C	YCR096C	YFL021W	YPR199C	YER040W	YDL170W	YDR520C	YML113W	YCR039C	YGL001C	YER190W	YDR084C	YER189W	YIR029W	YDL210W	YCR041W	YMR193W	YHR091C	YNL338W	YDR544C	YNL339C	YDR545W	YCR019W	YCR018CA	YNL337W	YER002W	YGR019W	YKR039W	YEL063C	YBL113C	YBL112C	YBL109W	YHR157W	YHR156C	YLR023C	YDR041W	YBL111C	YLR465C	YDR040C	YLR463C	YLR467W	YDR543C	YDR210WD	YCR105W	YNR068C	YBL018C	YNL143C	YBR006W	YIR032C	YIR005W	YHR037W	YDR210W	YMR257C	YBR208C	YNL142W	YHR029C	YOR348C	YBR103W	YBR102C	YBR166C	YIR028W	YOR375C	YLR142W	YLR082C	YIR031C	YKL178C	YHL016C	YMR098C	YJR110W	YJR109C	YMR086CA	YKR093W	YMR087W	YDR522C	YDR067C	YDR317W	YJL088W	YDR068W	YGR072W	YLR048W	YDR473C	YGR071C	YLR047C	YGR296W	YOL159C	YNL241C	YLL065W	YJR011C	YLR439W	YJR044C	YMR258C	YLR265C	YDR319C	YLL048C	YBR268W	YOL042W	YGL004C	YBR266C
0.0001295	0.6021128	0.8154796	0.3584541	0.6038724	0.5243656	0.1840828	0.3789249	0.4868093	0.7228472	0.6300963	0.5788211	0.5785995	0.0008474	0.6919746	0.1233226	0.0550264	0.2528731	0.5341242	0.0001645	0.0638937	0.4385111	0.4207197	0.3462459	0.6971760	0.4887469	0.6639363	0.5391978	0.3879612	0.5645041	0.4549401	0.5785806	0.2955255	0.6559704	0.1703608	0.7654853	0.3628627	0.0050068	0.2583313	0.7328247	0.2059141	0.3463413	0.0850171	0.1375972	0.2116758	0.0752817	0.1869850	0.5935195	0.2122824	0.0003046	0.1714199	0.2266439	0.3642695	0.1915829	0.5620905	0.6879176	0.0252691	0.4471789	0.1807564	0.2835881	0.0671848	0.6120997	0.5563224	0.4961759	0.1782381	0.3153416	0.0000000	0.0798607	0.4215657	0.0806191	0.3957961	0.0000247	0.0516613	0.0093822	0.2720873	0.5704418	0.5310722	0.3039896	0.1945503	0.2852567	0.0288781	0.5429112	0.0001360	0.6523157	0.3685222	0.7673410	0.4550734	0.4932399	0.6649470	0.0935361	0.6097310	0.2454334	0.0472302	0.6370530	0.0000000	0.1295836	0.0242619	0.6691442	0.3498016	0.8045992
0.0204354	0.0140657	0.6818078	0.0353412	0.5446376	0.0000000	0.3179981	0.4824347	0.4225813	0.6646519	0.0003606	0.2427509	0.4859698	0.4063798	0.6325013	0.0000000	0.8210537	0.3945200	0.0609039	0.0014405	0.3008067	0.4133649	0.0027589	0.5370221	0.6269991	0.7474898	0.7076093	0.8007406	0.0000000	0.3166173	0.6700756	0.6792912	0.3203226	0.2420914	0.1201836	0.3876358	0.3393176	0.2776031	0.0000000	0.6588877	0.3655417	0.5823897	0.5332104	0.0958805	0.0825646	0.7249381	0.4397130	0.0010963	0.1397299	0.2091871	0.0620590	0.2078526	0.0012364	0.4835701	0.0000000	0.2522701	0.3267590	0.2810712	0.6152121	0.0824791	0.4721551	0.3426307	0.3513074	0.3623034	0.2872297	0.6108768	0.2430760	0.6674003	0.0000000	0.6750332	0.1530389	0.0715181	0.0000000	0.2080540	0.1431914	0.6350873	0.0000000	0.0819766	0.1470894	0.2655989	0.1539454	0.4792035	0.1972447	0.5465526	0.2505501	0.7550909	0.1626034	0.4058850	0.6309451	0.0591037	0.0000000	0.2281663	0.0496611	0.5994550	0.1060438	0.2118707	0.0177637	0.5686287	0.5239185	0.6580276
0.5744106	0.6904113	0.2771794	0.0046572	0.3547763	0.2839206	0.5492967	0.6451785	0.3508365	0.3309371	0.0360403	0.7097884	0.5834165	0.2975438	0.1611091	0.2919879	0.2161709	0.3108660	0.1140982	0.1754011	0.0305887	0.1168225	0.3616793	0.6628553	0.6896588	0.6412727	0.6990440	0.2196831	0.2906330	0.3901165	0.0433136	0.1382572	0.0434204	0.6249820	0.6840081	0.1337505	0.5550118	0.5798149	0.1572727	0.6508422	0.0006392	0.5976463	0.0223220	0.5115718	0.4039267	0.7904268	0.1665858	0.4810387	0.1179893	0.0575921	0.7257281	0.1781995	0.3741469	0.5762941	0.4522729	0.1109268	0.0278757	0.2619327	0.4417530	0.1681739	0.1282974	0.5267965	0.0032185	0.0361210	0.6438665	0.5423275	0.1365768	0.7161251	0.1005712	0.3403893	0.2244261	0.4829034	0.5369243	0.0012595	0.2832375	0.0005024	0.0239799	0.2409539	0.1253876	0.3612697	0.3380788	0.4112344	0.0186262	0.8437438	0.5022757	0.7363406	0.1127138	0.0749489	0.5654634	0.1092052	0.0567829	0.0408065	0.0496351	0.0955630	0.0333863	0.5364944	0.0718883	0.0005417	0.5259244	0.7038314
0.6486094	0.7242465	0.1263899	0.0010621	0.0635386	0.3342284	0.6578859	0.6691199	0.8285019	0.3691862	0.0045023	0.0698038	0.6480443	0.0672231	0.6000362	0.3060845	0.2605153	0.4058979	0.0250891	0.6054772	0.0595809	0.5456750	0.0080946	0.4754961	0.2993553	0.7199345	0.7673564	0.0208212	0.5495179	0.5541048	0.1891052	0.4670898	0.6914225	0.5650292	0.6562806	0.0561658	0.5320547	0.6428966	0.1295615	0.5322635	0.5449445	0.0563664	0.5802320	0.3657456	0.0000000	0.6191121	0.6910705	0.4897438	0.0177651	0.0236330	0.9057959	0.2735785	0.6869725	0.0168404	0.3667892	0.5279019	0.0029540	0.5348499	0.7281909	0.0494544	0.0115941	0.0509769	0.0020515	0.1230524	0.6754330	0.3016940	0.0845014	0.5124099	0.0974370	0.2651582	0.3158147	0.0426057	0.6729108	0.6978699	0.5751497	0.1561046	0.7779355	0.0000000	0.1865424	0.0020884	0.4777961	0.1336564	0.4637309	0.0632897	0.2606493	0.6623465	0.1840923	0.2133306	0.6226575	0.4718773	0.1178340	0.0790660	0.3091286	0.3923392	0.1860279	0.6014710	0.0000000	0.0009709	0.3025655	0.2225820
0.1411810	0.2085914	0.8217996	0.0004649	0.3740777	0.7271413	0.5971523	0.6331415	0.5739808	0.7128874	0.0146028	0.2790928	0.6970165	0.4112322	0.1452490	0.5277635	0.1274314	0.5013690	0.0331186	0.0000340	0.3920646	0.2618621	0.0049493	0.7374295	0.5905571	0.6699637	0.5633757	0.6900532	0.0199382	0.3887596	0.0638315	0.5714348	0.4261348	0.2575689	0.0076405	0.8086166	0.3187061	0.4783398	0.2033573	0.5734963	0.0006194	0.3386654	0.1544420	0.1004842	0.4169042	0.3853267	0.1334076	0.0827654	0.5680361	0.0000000	0.3484590	0.0122613	0.0300245	0.7122223	0.7779580	0.3585203	0.0865131	0.0928467	0.6767756	0.3891487	0.3750538	0.6708229	0.1594127	0.2488999	0.6498013	0.1658507	0.2948532	0.4777019	0.5052551	0.3792144	0.1306463	0.0021689	0.6061620	0.3993832	0.3154476	0.1350390	0.6830538	0.2513277	0.0069436	0.7730462	0.0288639	0.4386202	0.3169561	0.6312135	0.4263429	0.5790015	0.0502179	0.0709110	0.4513767	0.1342591	0.0000000	0.0426335	0.1026503	0.8399731	0.0777914	0.1773569	0.1254230	0.0033825	0.4795543	0.6937368
0.0448783	0.4509404	0.5803730	0.3255628	0.0235738	0.7031516	0.3138321	0.6705169	0.5938345	0.5545895	0.0732913	0.2205875	0.8675343	0.5569530	0.1886390	0.6539169	0.0002297	0.3266900	0.6084365	0.4009067	0.1398497	0.4768821	0.0745387	0.4431073	0.6802155	0.6360924	0.6908652	0.0000000	0.0559941	0.3570843	0.5243748	0.5973516	0.4670192	0.4987521	0.0049359	0.6915373	0.3650448	0.0141717	0.1250169	0.6810173	0.6195057	0.1249713	0.0084014	0.7004177	0.5273314	0.0379496	0.2128017	0.1608465	0.0155769	0.0035454	0.0001718	0.5854271	0.0022654	0.0003797	0.6045681	0.5012672	0.0001443	0.6782509	0.6847457	0.0483825	0.4080913	0.3061140	0.4344892	0.3755570	0.4986333	0.1673369	0.4170818	0.0533651	0.4991404	0.4291311	0.4901535	0.0320791	0.6168138	0.6993762	0.2689093	0.0669713	0.0000000	0.6693136	0.3904983	0.0000669	0.4944991	0.3447982	0.3967807	0.5020846	0.1261019	0.6975536	0.0170083	0.0120559	0.7549932	0.0955722	0.2822593	0.0000306	0.2726460	0.5046065	0.7217133	0.1355058	0.6695504	0.1323125	0.7087019	0.1639943
0.5741884	0.6473937	0.2618638	0.0016884	0.3766661	0.5977708	0.7545729	0.7140620	0.4110504	0.7600536	0.5710640	0.2772017	0.6508724	0.0706962	0.4955770	0.2862172	0.5129940	0.3931079	0.6712020	0.5982604	0.3733721	0.6417310	0.3075314	0.5691762	0.4739453	0.2790104	0.6259753	0.7070845	0.1353632	0.8072685	0.0000000	0.1711012	0.0150443	0.2610520	0.2030032	0.3553899	0.1888240	0.0000559	0.0002836	0.6725296	0.4421644	0.5233474	0.6091286	0.3168046	0.1361796	0.3808344	0.6526789	0.4894812	0.3144394	0.0000736	0.5749296	0.0119813	0.3298495	0.6787807	0.1266071	0.4058101	0.6644029	0.0465769	0.4230595	0.0403372	0.3830992	0.0407698	0.0801509	0.0976628	0.5785204	0.1244737	0.1340757	0.3054149	0.0124881	0.5201493	0.0413882	0.0004661	0.6936041	0.0014628	0.6316099	0.0719609	0.0126019	0.5918070	0.0327246	0.2951459	0.2247949	0.4832409	0.0002293	0.2722946	0.3510816	0.5776990	0.0508197	0.0013058	0.6692312	0.1695443	0.0424048	0.0679181	0.0159602	0.0918921	0.1205590	0.0000000	0.0923443	0.0000181	0.6061450	0.6097185
0.0005334	0.6280968	0.4441873	0.3718356	0.3135578	0.6164528	0.0789119	0.7031124	0.2827376	0.5597511	0.0086257	0.4900194	0.4773458	0.0034189	0.7761090	0.6602703	0.6522735	0.2644552	0.6491305	0.0000013	0.3586516	0.3448187	0.2721570	0.4959317	0.3307248	0.3641300	0.7811396	0.6701339	0.0000000	0.5620979	0.6451756	0.6312040	0.3999803	0.6867513	0.0433843	0.7112408	0.6336091	0.5609439	0.1487503	0.5620510	0.0350929	0.5296496	0.0082473	0.1322819	0.3985029	0.3319665	0.8100583	0.5609676	0.6899487	0.1647235	0.1924682	0.0000000	0.7296816	0.4934808	0.6439354	0.1985983	0.0053169	0.5388190	0.2898717	0.0008460	0.0212469	0.3583464	0.5381242	0.5498665	0.5180315	0.4287341	0.2546068	0.6763948	0.0301689	0.5326250	0.4092660	0.0002595	0.1285738	0.3758945	0.3126088	0.0929683	0.3650518	0.6139232	0.1454050	0.2592672	0.2797823	0.2598155	0.1519642	0.7998674	0.0552631	0.5749329	0.2602514	0.0846787	0.6281638	0.2624959	0.6176828	0.0664939	0.1056395	0.6526648	0.1516653	0.2716726	0.2382764	0.7109597	0.4355465	0.7142507
0.4746876	0.3505939	0.7698175	0.0597311	0.5304320	0.5632563	0.5510956	0.7119590	0.5421282	0.6858736	0.2315487	0.5115951	0.3773406	0.3276398	0.4863787	0.0038965	0.2120211	0.6030029	0.6669609	0.0534204	0.4856344	0.3675000	0.3479153	0.5652375	0.6290006	0.6456416	0.6885861	0.6436172	0.4413095	0.7773315	0.0234232	0.3455265	0.2111881	0.5570021	0.0016783	0.1837822	0.4014620	0.4598851	0.0793426	0.6541239	0.0356780	0.4426659	0.0084905	0.4461088	0.1720415	0.6840134	0.7213510	0.3490451	0.1211777	0.0003237	0.7086600	0.1572402	0.2347095	0.6460564	0.6712446	0.4114614	0.6595559	0.1124300	0.6765162	0.4928102	0.1240119	0.1000802	0.1446039	0.0359298	0.1143436	0.2085370	0.2175032	0.2681680	0.2033203	0.1108229	0.3261463	0.0817642	0.5554415	0.0000717	0.5341604	0.1989079	0.0651208	0.2815388	0.0071057	0.2642176	0.0000000	0.5289491	0.1355446	0.2083931	0.1439111	0.6416629	0.1372069	0.0536807	0.5656639	0.0074738	0.0220334	0.1058085	0.1374178	0.8408821	0.0968179	0.0856411	0.0100245	0.0028572	0.2515998	0.6231585
0.1710111	0.1938655	0.7383688	0.0184862	0.5891660	0.7184466	0.4024383	0.5468273	0.3495526	0.6615483	0.0784405	0.7106938	0.5098246	0.0180817	0.3323743	0.2644279	0.0164231	0.3011329	0.2240426	0.4348385	0.0638820	0.7290746	0.2096268	0.6728338	0.4235384	0.7790884	0.5445588	0.6015288	0.1397791	0.7618887	0.2336398	0.6205407	0.4299365	0.5641413	0.0006877	0.6145648	0.7243183	0.0000234	0.1163296	0.6390064	0.3104564	0.3774215	0.0010840	0.2752458	0.3186892	0.0779375	0.1538679	0.5865320	0.5665108	0.2145535	0.2111057	0.2037620	0.0782739	0.6085973	0.6215819	0.0970095	0.6778824	0.0606347	0.6687323	0.2515629	0.1541093	0.1968577	0.2231902	0.3720784	0.5152749	0.3748864	0.0000737	0.0193592	0.0000000	0.6982201	0.2706334	0.3453487	0.5486776	0.1152661	0.8261180	0.0126577	0.1596642	0.4330711	0.0029719	0.1048629	0.0026499	0.5107722	0.0000587	0.1751318	0.1095610	0.6789538	0.2223792	0.0050530	0.6287337	0.0247623	0.0000000	0.0919995	0.1425252	0.6259356	0.0914412	0.2444888	0.0657251	0.0535841	0.4844609	0.6480459
0.2547192	0.2073800	0.6342316	0.0003744	0.4603589	0.7184019	0.5344349	0.7516022	0.6403963	0.5961405	0.0235456	0.3718104	0.4355978	0.0408642	0.4296196	0.3589663	0.0476198	0.3468246	0.3748283	0.4087770	0.5899094	0.7106036	0.0426203	0.4250294	0.4195664	0.7181724	0.7905173	0.7722809	0.2830300	0.4073304	0.0917379	0.5272267	0.8009708	0.5967186	0.5325133	0.6432336	0.3857687	0.5006587	0.1208571	0.7916495	0.0016106	0.5040315	0.4675288	0.2656794	0.4094822	0.4032227	0.7632747	0.3171739	0.4702518	0.0000748	0.6175777	0.1398179	0.0914943	0.5891244	0.6070958	0.1903172	0.3822638	0.0062782	0.7185360	0.0542450	0.0366515	0.1548043	0.1698240	0.2173371	0.7368048	0.7388315	0.2356332	0.0454452	0.0000000	0.6913163	0.1735062	0.4871611	0.6741140	0.0001276	0.6937190	0.7459057	0.3576930	0.4590630	0.1222827	0.3085345	0.2080162	0.4060829	0.3681126	0.5837956	0.2400284	0.6867787	0.1045015	0.3944067	0.7194926	0.0552335	0.0572376	0.0438948	0.0335767	0.6805418	0.0861365	0.1099362	0.0027810	0.0005383	0.3297701	0.6607752
